"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_c6509338c6ab4c06804bbcb8c361f812.pdf","442116","2022 - 990 Form","2022 - 990 Form","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[5]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_90a5efa7142d4148b84eb0525c66de78.pdf","302162","2021 Audited Financial Report","2021 Audited Financial Report","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[8]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_820ade476dff47d188f8b9378318d242.pdf","318918","2022 Audited Financial Report","2022 Audited Financial Report","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[6]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_b6f9e409a1a2422c8d4d9e7368d08fbb.pdf","315545","2020 - 990 Form","2020 - 990 Form","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[9]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_97c1a5bca4fb48c2bc203de1898dad42.pdf","397953","2023 - 990 Form","2023 - 990 Form","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[3]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_957a74369bdb4c0e871f69ae92f60ef0.pdf","327672","2024 - 990 Form","2024 - 990 Form","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[1]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_d302c1520c0d4a62bb0caeef25054425.pdf","6222264","2021 - 990 Form","2021 - 990 Form","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[7]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_fbb391218c0a4ab3a609e7ded6d5d8f2.pdf","316237","2024 Audited Financial Report","2024 Audited Financial Report","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[2]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/financial-reports","https://www.lifeusa.org/_files/ugd/6df904_87226379919b4320b943ce00af7190d1.pdf","301324","2023 Audited Financial Report","2023 Audited Financial Report","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474su1']/div[2]/div/div/div[1]/div[4]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/annualreports","https://www.lifeusa.org/_files/ugd/6df904_d0fe1b850fe14f2aafff753149a31e93.pdf","2612722","2022 Annual Report","2022 Annual Report","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474z1']/div[2]/div/div/div[1]/div[3]/a","Content","HTML"
